EmpID,ProjectID,DateFrom,DateTo
INTEGER,INTEGER,DATE,DATE
EmpID,ProjectID,DateFrom,DateTo
101,501,2018-01-15,2019-03-20
102,501,2018-02-01,2019-03-20
103,502,2018-03-10,2018-11-30
104,502,2018-03-12,2018-09-15
101,503,2019-04-01,2020-01-10
105,503,2019-04-05,2020-01-10
102,504,2018-05-20,NULL
106,504,2018-06-01,2020-05-20
107,505,2019-07-15,2021-02-28
108,505,2019-07-20,2021-01-15
101,506,2020-02-01,2022-06-30
102,506,2020-02-01,2022-06-30
109,507,2021-01-05,2021-12-10
110,507,2021-01-10,2021-11-01
111,508,2020-08-01,NULL
112,508,2020-08-15,2022-10-25
103,509,2019-02-14,2019-09-30
113,509,2019-03-01,2019-09-30
105,510,2020-03-18,2021-04-22
114,510,2020-04-01,2021-03-15
115,511,2022-01-20,2023-01-20
116,511,2022-02-10,2023-01-20
101,512,2022-07-01,NULL
102,512,2022-07-05,NULL
104,513,2019-10-01,2020-03-05
117,513,2019-10-15,2020-03-05
108,514,2021-03-01,2022-08-14
118,514,2021-03-20,2022-07-30
119,515,2023-02-01,2023-11-11
120,515,2023-02-15,2023-10-20
107,516,2021-04-10,2022-01-10
109,516,2021-05-01,2022-01-10
110,517,2022-01-15,NULL
113,517,2022-02-01,2023-09-01
112,518,2022-11-01,2023-05-15
115,518,2022-11-10,2023-04-30
116,519,2023-02-10,2023-08-20
118,519,2023-03-01,2023-08-20
120,520,2023-12-01,NULL
101,520,2023-12-05,NULL
102,521,2018-09-01,2019-01-15
103,521,2018-09-05,2019-01-15
104,522,2020-04-01,2020-10-10
105,522,2020-04-01,2020-09-30
106,523,2020-06-15,2021-01-20
107,523,2020-07-01,2021-01-20
108,524,2022-09-01,2023-02-28
109,524,2022-09-15,2023-02-28
110,525,2021-12-01,2022-05-10
111,525,2021-12-10,2022-04-30
112,526,2023-06-01,NULL
114,526,2023-06-15,2024-01-31
115,527,2023-02-01,2023-07-15
117,527,2023-02-20,2023-07-15
118,528,2022-08-20,2023-01-10
119,528,2022-09-01,2023-01-10
120,529,2024-01-15,NULL
103,529,2024-02-01,NULL
105,530,2021-05-01,2021-11-15
106,530,2021-05-10,2021-10-30
101,531,2018-08-10,2021-12-10
111,531,2018-08-15,2021-12-10
102,532,2019-03-25,2020-07-01
112,532,2019-04-01,2020-07-01
104,533,2020-11-01,2022-02-20
114,533,2020-11-10,2022-02-01
107,534,2022-02-15,2022-09-30
117,534,2022-03-01,2022-09-30
109,535,2021-11-05,NULL
119,535,2021-11-20,2023-05-25
116,536,2023-09-01,2024-02-10
106,536,2023-09-15,2024-02-10
108,537,2023-03-15,2023-10-15
118,537,2023-04-01,2023-09-30
103,538,2020-01-01,2020-06-30
113,538,2020-01-10,2020-05-31
115,539,2021-08-10,2022-03-12
105,539,2021-08-20,2022-03-01
101,540,2023-01-10,NULL
110,540,2023-01-20,NULL
120,541,2024-03-01,2024-09-15
102,541,2024-03-10,2024-08-30
104,542,2022-03-05,2022-11-20
116,542,2022-03-20,2022-11-20
107,543,2022-10-01,2023-04-05
